E	dosup	dosdw	Int
-45.12	7.17E-85	7.17E-85	7.02E-84
-45.11	7.17E-85	7.17E-85	7.03E-84
-45.1	7.17E-85	7.17E-85	7.04E-84
-45.09	7.17E-85	7.17E-85	7.06E-84
-45.08	7.17E-85	7.17E-85	7.07E-84
-45.07	7.17E-85	7.17E-85	7.09E-84
-45.06	7.17E-85	7.17E-85	7.10E-84
-45.05	7.17E-85	7.17E-85	7.12E-84
-45.04	7.17E-85	7.17E-85	7.13E-84
-45.03	7.17E-85	7.17E-85	7.15E-84
-45.02	7.17E-85	7.17E-85	7.16E-84
-45.01	7.17E-85	7.17E-85	7.17E-84
-45	7.17E-85	7.17E-85	7.19E-84
-44.99	7.17E-85	7.17E-85	7.20E-84
-44.98	7.17E-85	7.17E-85	7.22E-84
-44.97	7.17E-85	7.17E-85	7.23E-84
-44.96	7.17E-85	7.17E-85	7.25E-84
-44.95	7.17E-85	7.17E-85	7.26E-84
-44.94	7.17E-85	7.17E-85	7.27E-84
-44.93	7.17E-85	7.17E-85	7.29E-84
-44.92	7.17E-85	7.17E-85	7.30E-84
-44.91	7.17E-85	7.17E-85	7.32E-84
-44.9	7.17E-85	7.17E-85	7.33E-84
-44.89	7.17E-85	7.17E-85	7.35E-84
-44.88	7.17E-85	7.17E-85	7.36E-84
-44.87	7.17E-85	7.17E-85	7.37E-84
-44.86	7.17E-85	7.17E-85	7.39E-84
-44.85	7.17E-85	7.17E-85	7.40E-84
-44.84	7.17E-85	7.17E-85	7.42E-84
-44.83	7.17E-85	7.17E-85	7.43E-84
-44.82	7.17E-85	7.17E-85	7.45E-84
-44.81	7.17E-85	7.17E-85	7.46E-84
-44.8	7.17E-85	7.17E-85	7.48E-84
-44.79	7.17E-85	7.17E-85	7.49E-84
-44.78	7.17E-85	7.17E-85	7.50E-84
-44.77	7.17E-85	7.17E-85	7.52E-84
-44.76	7.17E-85	7.17E-85	7.53E-84
-44.75	7.17E-85	7.17E-85	7.55E-84
-44.74	7.17E-85	7.17E-85	7.56E-84
-44.73	7.17E-85	7.17E-85	7.58E-84
-44.72	7.17E-85	7.17E-85	7.59E-84
-44.71	7.17E-85	7.17E-85	7.60E-84
-44.7	7.17E-85	7.17E-85	7.62E-84
-44.69	7.17E-85	7.17E-85	7.63E-84
-44.68	7.17E-85	7.17E-85	7.65E-84
-44.67	7.17E-85	7.17E-85	7.66E-84
-44.66	7.17E-85	7.17E-85	7.68E-84
